Name,Gender,Origin,Meaning,Description,Source_url
Efrem,Male,Hebrew,Very Fruitful,The name Efrem means Very Fruitful and is of Hebrew origin. Efrem is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/efrem
Efren,Male,Spanish,Fruitful,The name Efren means Fruitful and is of Spanish origin. Efren is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/efren
Fabian,Male,Italian,Bean Grower,The name Fabian means Bean Grower and is of Italian origin. Fabian is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fabian
Fabiana,Female,Italian,Feminine Form Of Fabian,The name Fabiana means Feminine Form Of Fabian and is of Italian origin. Fabiana is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fabiana
Fabiano,Male,Italian,Bean Grower,The name Fabiano means Bean Grower and is of Italian origin. Fabiano is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fabiano
Fabienne,Female,French,Bean Grower,The name Fabienne means Bean Grower and is of French origin. Fabienne is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fabienne
Fabio,Male,Italian,Bean Grower,The name Fabio means Bean Grower and is of Italian origin. Fabio is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fabio
Fabiola,Female,Italian,Bean Grower,The name Fabiola means Bean Grower and is of Italian origin. Fabiola is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fabiola
Fabrice,Male,French,Smith,The name Fabrice means Smith and is of French origin. Fabrice is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fabrice
Fabrico,Male,Spanish,Artisan,The name Fabrico means Artisan and is of Spanish origin. Fabrico is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fabrico
Fabrizio,Male,Italian,Craftsman,The name Fabrizio means Craftsman and is of Italian origin. Fabrizio is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fabrizio
Fabunni,Female,African,God Has Given Me This,The name Fabunni means God Has Given Me This and is of African origin. Fabunni is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fabunni
Facebook,Unisex,American,Brand Of Social Network,The name Facebook means Brand Of Social Network and is of American origin. Facebook is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/facebook
Fadey,Male,Slavic,Praise,The name Fadey means Praise and is of Slavic origin. Fadey is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fadey
Fadi,Male,Arabic,Saviour (Jesus),The name Fadi means Saviour (Jesus) and is of Arabic origin. Fadi is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fadi
Fadia,Female,Arabic,Saviour,The name Fadia means Saviour and is of Arabic origin. Fadia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fadia
Fadri,Male,Romansh,Peace Ruler,The name Fadri means Peace Ruler and is of Romansh origin. Fadri is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fadri
Fahari,Female,Swahili,Splendor,The name Fahari means Splendor and is of Swahili origin. Fahari is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fahari
Fahd,Male,Arabic,Panther,The name Fahd means Panther and is of Arabic origin. Fahd is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fahd
Fahima,Female,Arabic,Quick-witted,The name Fahima means Quick-witted and is of Arabic origin. Fahima is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fahima
Fai,Male,Chinese,Beginning,The name Fai means Beginning and is of Chinese origin. Fai is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fai
Faina,Female,Russian,Shining,The name Faina means Shining and is of Russian origin. Faina is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/faina
Fairfax,Male,English,Fair Haired,The name Fairfax means Fair Haired and is of English origin. Fairfax is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fairfax
Fairly,Unisex,English,From The Clearing Overgrown With Ferns,The name Fairly means From The Clearing Overgrown With Ferns and is of English origin. Fairly is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/fairly
Faisal,Male,Arabic,Sword,The name Faisal means Sword and is of Arabic origin. Faisal is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/faisal
Faith,Female,English,Faith,The name Faith means Faith and is of English origin. Faith is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/faith
Faiz,Male,Arabic,Victorious,The name Faiz means Victorious and is of Arabic origin. Faiz is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/faiz
Faizah,Female,Swahili,Victorious,The name Faizah means Victorious and is of Swahili origin. Faizah is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/faizah
Fakhiri,Male,Arabic,Honorary,The name Fakhiri means Honorary and is of Arabic origin. Fakhiri is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fakhiri
Fala,Female,Native American,A Crow,The name Fala means A Crow and is of Native American origin. Fala is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fala
Falala,Female,African,Born Into Abundance,The name Falala means Born Into Abundance and is of African origin. Falala is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/falala
Falan,Unisex,Indian,Fruitful,The name Falan means Fruitful and is of Indian origin. Falan is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/falan
Falcon,Unisex,English,Bird In The Hawk Family,The name Falcon means Bird In The Hawk Family and is of English origin. Falcon is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/falcon
Falk,Male,German,Hawk,The name Falk means Hawk and is of German origin. Falk is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/falk
Fallon,Unisex,Irish,Of A Ruling Family,The name Fallon means Of A Ruling Family and is of Irish origin. Fallon is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/fallon
Famke,Female,Dutch,Girl,The name Famke means Girl and is of Dutch origin. Famke is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/famke
Fanchon,Female,French,"Free, Whimsical","The name Fanchon means Free, Whimsical and is of French origin. Fanchon is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/fanchon
Fancy,Female,English,"Decorated/Idea, Notion","The name Fancy means Decorated/Idea, Notion and is of English origin. Fancy is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/fancy
Fang,Female,Chinese,Fragrance Or A Canine Tooth,The name Fang means Fragrance Or A Canine Tooth and is of Chinese origin. Fang is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fang
Fannie,Female,American,Diminutive Form Of Frances,The name Fannie means Diminutive Form Of Frances and is of American origin. Fannie is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fannie
Fanny,Female,American,Free,The name Fanny means Free and is of American origin. Fanny is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fanny
Fantasia,Female,Spanish,Fantasy,The name Fantasia means Fantasy and is of Spanish origin. Fantasia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fantasia
Faolan,Male,Irish,Wolf,The name Faolan means Wolf and is of Irish origin. Faolan is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/faolan
Farah,Female,Arabic,Joy,The name Farah means Joy and is of Arabic origin. Farah is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/farah
Fareeda,Female,Arabic,Unique,The name Fareeda means Unique and is of Arabic origin. Fareeda is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fareeda
Fareeshah,Female,Persian,Turquoise Gemston,The name Fareeshah means Turquoise Gemston and is of Persian origin. Fareeshah is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fareeshah
Fargo,Unisex,Spanish,From The Fenced Pasture,The name Fargo means From The Fenced Pasture and is of Spanish origin. Fargo is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/fargo
Fariat,Male,Arabic,Unknown Meaning,The name Fariat means Unknown Meaning and is of Arabic origin. Fariat is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fariat
Farica,Female,German,Peace Ruler,The name Farica means Peace Ruler and is of German origin. Farica is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/farica
Farid,Male,Arabic,To Be Unique,The name Farid means To Be Unique and is of Arabic origin. Farid is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/farid
Faris,Male,Arabic,Horseman/Knight,The name Faris means Horseman/Knight and is of Arabic origin. Faris is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/faris
Farley,Unisex,English,From The Fern-covered Clearing,The name Farley means From The Fern-covered Clearing and is of English origin. Farley is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/farley
Farmer,Unisex,English,One Who Farms,The name Farmer means One Who Farms and is of English origin. Farmer is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/farmer
Farrah,Unisex,English,Ironsmith,The name Farrah means Ironsmith and is of English origin. Farrah is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/farrah
Farrell,Male,Irish,Descendant Of The Man Of Valour,The name Farrell means Descendant Of The Man Of Valour and is of Irish origin. Farrell is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/farrell
Farren,Unisex,English,The Color Iron-grey,The name Farren means The Color Iron-grey and is of English origin. Farren is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/farren
Farsiris,Female,Persian,Princess,The name Farsiris means Princess and is of Persian origin. Farsiris is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/farsiris
Faruq,Male,Arabic,One Who Tells Right From Wrong,The name Faruq means One Who Tells Right From Wrong and is of Arabic origin. Faruq is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/faruq
Fateh,Male,Indian,Success,The name Fateh means Success and is of Indian origin. Fateh is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/fateh
Fathi,Male,Arabic,"Victory, Conqueror","The name Fathi means Victory, Conqueror and is of Arabic origin. Fathi is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/fathi
Fathia,Female,Arabic,Victory,The name Fathia means Victory and is of Arabic origin. Fathia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fathia
Fathiyya,Female,Arabic,"Conqueror, Victorious","The name Fathiyya means Conqueror, Victorious and is of Arabic origin. Fathiyya is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/fathiyya
Fatima,Female,Arabic,Daughter Of The Prophet,The name Fatima means Daughter Of The Prophet and is of Arabic origin. Fatima is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fatima
Fatimah,Female,Arabic,To Abstain,The name Fatimah means To Abstain and is of Arabic origin. Fatimah is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fatimah
Fatin,Female,Arabic,"Charming, Seductive","The name Fatin means Charming, Seductive and is of Arabic origin. Fatin is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/fatin
Fatma,Female,Arabic,To Abstain,The name Fatma means To Abstain and is of Arabic origin. Fatma is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fatma
Faulkner,Unisex,English,Falconer,The name Faulkner means Falconer and is of English origin. Faulkner is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/faulkner
Fauna,Female,Latin,Goddess Of Fertility,The name Fauna means Goddess Of Fertility and is of Latin origin. Fauna is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/fauna
Gabby,Female,English,Diminutive Form Of Gabrielle,The name Gabby means Diminutive Form Of Gabrielle and is of English origin. Gabby is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gabby
Gabe,Male,English,Short Form Of Gabriel,The name Gabe means Short Form Of Gabriel and is of English origin. Gabe is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gabe
Gabi,Female,French,Diminutive Form Of Gabriela,The name Gabi means Diminutive Form Of Gabriela and is of French origin. Gabi is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gabi
Gable,Unisex,German,God Is Bright,The name Gable means God Is Bright and is of German origin. Gable is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/gable
Gabouray,Female,French,"One Who Jokes, Teases","The name Gabouray means One Who Jokes, Teases and is of French origin. Gabouray is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/gabouray
Gabrie,Female,English,God Is My Strength,The name Gabrie means God Is My Strength and is of English origin. Gabrie is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gabrie
Gabriel,Male,Hebrew,God Is My Strength,The name Gabriel means God Is My Strength and is of Hebrew origin. Gabriel is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gabriel
Gabriela,Female,Spanish,Feminine Form Of Gabriel,The name Gabriela means Feminine Form Of Gabriel and is of Spanish origin. Gabriela is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gabriela
Gabriella,Female,Italian,Feminine Form Of Gabriel,The name Gabriella means Feminine Form Of Gabriel and is of Italian origin. Gabriella is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gabriella
Gabrielle,Female,French,God Is My Strength,The name Gabrielle means God Is My Strength and is of French origin. Gabrielle is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gabrielle
Gabryle,Male,American,God Is My Strength,The name Gabryle means God Is My Strength and is of American origin. Gabryle is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gabryle
Gaby,Female,English,Diminutive Of The Name Gabrielle,The name Gaby means Diminutive Of The Name Gabrielle and is of English origin. Gaby is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gaby
Gad,Male,Hebrew,"Happiness, Luck, Fortune","The name Gad means Happiness, Luck, Fortune and is of Hebrew origin. Gad is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/gad
Gada,Female,Hebrew,Feminine Form Of Gad,The name Gada means Feminine Form Of Gad and is of Hebrew origin. Gada is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gada
Gadar,Female,Armenian,"Peak, Summit","The name Gadar means Peak, Summit and is of Armenian origin. Gadar is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/gadar
Gael,Unisex,Irish,A Gaelic Person,The name Gael means A Gaelic Person and is of Irish origin. Gael is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/gael
Gaenor,Female,Welsh,"White Ghost, Phantom","The name Gaenor means White Ghost, Phantom and is of Welsh origin. Gaenor is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/gaenor
Gaerwn,Male,Welsh,White Fort,The name Gaerwn means White Fort and is of Welsh origin. Gaerwn is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gaerwn
Gaetan,Male,French,"From Gaeta, Italy","The name Gaetan means From Gaeta, Italy and is of French origin. Gaetan is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/gaetan
Gaetana,Female,Italian,"From Gaeta, Italy","The name Gaetana means From Gaeta, Italy and is of Italian origin. Gaetana is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/gaetana
Gaetane,Female,French,"From Gaeta, Italy","The name Gaetane means From Gaeta, Italy and is of French origin. Gaetane is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/gaetane
Gaetano,Male,Italian,"From Gaeta, Italy","The name Gaetano means From Gaeta, Italy and is of Italian origin. Gaetano is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/gaetano
Gafna,Female,Hebrew,Vine,The name Gafna means Vine and is of Hebrew origin. Gafna is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gafna
Gafnit,Female,Hebrew,Vine,The name Gafnit means Vine and is of Hebrew origin. Gafnit is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gafnit
Gagan,Male,Indian,Heavenly Sky,The name Gagan means Heavenly Sky and is of Indian origin. Gagan is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gagan
Gage,Male,English,Measurer,The name Gage means Measurer and is of English origin. Gage is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gage
Gaia,Female,Latin,Earth,The name Gaia means Earth and is of Latin origin. Gaia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gaia
Gaiana,Female,Latin,Earth,The name Gaiana means Earth and is of Latin origin. Gaiana is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gaiana
Gail,Female,English,Joy Of The Father,The name Gail means Joy Of The Father and is of English origin. Gail is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gail
Gainell,Unisex,American,"Happy, Shiny","The name Gainell means Happy, Shiny and is of American origin. Gainell is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.",https://www.babynames.com/name/gainell
Gaius,Male,Latin,Person Of Earth,The name Gaius means Person Of Earth and is of Latin origin. Gaius is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gaius
Gaiwan,Unisex,Welsh,White Hawk,The name Gaiwan means White Hawk and is of Welsh origin. Gaiwan is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/gaiwan
Gajijens,Unisex,Native American,Its Flowers Fall,The name Gajijens means Its Flowers Fall and is of Native American origin. Gajijens is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/gajijens
Gal,Female,Hebrew,Wave,The name Gal means Wave and is of Hebrew origin. Gal is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gal
Gala,Female,Scandinavian,Singer,The name Gala means Singer and is of Scandinavian origin. Gala is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gala
Galahad,Male,English,"Pure, Noble And Selfless","The name Galahad means Pure, Noble And Selfless and is of English origin. Galahad is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/galahad
Galal,Male,Arabic,Greatness,The name Galal means Greatness and is of Arabic origin. Galal is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/galal
Galatea,Female,Greek,Milk White,The name Galatea means Milk White and is of Greek origin. Galatea is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/galatea
Galaxy,Unisex,American,Large System Of Stars,The name Galaxy means Large System Of Stars and is of American origin. Galaxy is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/galaxy
Gale,Unisex,English,"Pleasant, Merry","The name Gale means Pleasant, Merry and is of English origin. Gale is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.",https://www.babynames.com/name/gale
Galen,Male,Greek,Calm,The name Galen means Calm and is of Greek origin. Galen is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/galen
Galena,Female,Greek,Calm,The name Galena means Calm and is of Greek origin. Galena is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/galena
Galeno,Male,Spanish,Form Of Galen,The name Galeno means Form Of Galen and is of Spanish origin. Galeno is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/galeno
Gali,Female,Hebrew,My Wave,The name Gali means My Wave and is of Hebrew origin. Gali is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gali
Galia,Female,Hebrew,Wave Of God,The name Galia means Wave Of God and is of Hebrew origin. Galia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/galia
Galiena,Female,German,Exalted One,The name Galiena means Exalted One and is of German origin. Galiena is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/galiena
Galilaia,Female,Greek,The District,The name Galilaia means The District and is of Greek origin. Galilaia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/galilaia
Galilee,Unisex,English,Country Of Gentiles,The name Galilee means Country Of Gentiles and is of English origin. Galilee is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/galilee
Galileo,Male,Latin,Person From Galilee,The name Galileo means Person From Galilee and is of Latin origin. Galileo is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/galileo
Galilhai,Female,Native American,"Gentle, Attractive","The name Galilhai means Gentle, Attractive and is of Native American origin. Galilhai is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/galilhai
Galina,Female,Russian,Clarity,The name Galina means Clarity and is of Russian origin. Galina is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/galina
Galinda,Female,Portuguese,Unknown Meaning,The name Galinda means Unknown Meaning and is of Portuguese origin. Galinda is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/galinda
Gallagher,Male,Irish,Descendant Of The Lover Of Foreigners,The name Gallagher means Descendant Of The Lover Of Foreigners and is of Irish origin. Gallagher is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gallagher
Gallia,Female,Latin,Of Gaul,The name Gallia means Of Gaul and is of Latin origin. Gallia is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gallia
Galvin,Male,Irish,Sparrow,The name Galvin means Sparrow and is of Irish origin. Galvin is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/galvin
Galya,Female,Hebrew,Wave Of God,The name Galya means Wave Of God and is of Hebrew origin. Galya is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/galya
Gamada,Male,African,"Glad, Pleased","The name Gamada means Glad, Pleased and is of African origin. Gamada is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/gamada
Gamaliel,Male,Hebrew,God Is My Reward,The name Gamaliel means God Is My Reward and is of Hebrew origin. Gamaliel is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gamaliel
Gambhiri,Female,Indian,Noble,The name Gambhiri means Noble and is of Indian origin. Gambhiri is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gambhiri
Gamma,Female,Greek,Third Letter Of Greek Alphabet,The name Gamma means Third Letter Of Greek Alphabet and is of Greek origin. Gamma is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/gamma
Gandhi,Male,Indian,Sun,The name Gandhi means Sun and is of Indian origin. Gandhi is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gandhi
Ganesa,Unisex,Indian,God Of Intelligence And Wisdom,The name Ganesa means God Of Intelligence And Wisdom and is of Indian origin. Ganesa is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/ganesa
Gang,Male,Chinese,Hard; Unyielding,The name Gang means Hard; Unyielding and is of Chinese origin. Gang is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gang
Ganit,Female,Hebrew,Garden,The name Ganit means Garden and is of Hebrew origin. Ganit is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/ganit
Gannon,Male,Irish,Son Of The Fair-haired One,The name Gannon means Son Of The Fair-haired One and is of Irish origin. Gannon is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/gannon
Ganya,Female,Hebrew,Garden Of The Lord,The name Ganya means Garden Of The Lord and is of Hebrew origin. Ganya is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/ganya
Ha,Female,Vietnamese,Sunshine And Warmth,The name Ha means Sunshine And Warmth and is of Vietnamese origin. Ha is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/ha
Haben,Male,African,Pride,The name Haben means Pride and is of African origin. Haben is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/haben
Habib,Male,Arabic,Beloved One,The name Habib means Beloved One and is of Arabic origin. Habib is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/habib
Habiba,Female,Arabic,Beloved,The name Habiba means Beloved and is of Arabic origin. Habiba is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/habiba
Habiki,Male,Japanese,"Echo, Sound","The name Habiki means Echo, Sound and is of Japanese origin. Habiki is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/habiki
Hachi,Unisex,Japanese,Eight,The name Hachi means Eight and is of Japanese origin. Hachi is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/hachi
Hachiro,Male,Japanese,Eighth Son,The name Hachiro means Eighth Son and is of Japanese origin. Hachiro is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/hachiro
Hachirou,Male,Japanese,Eighth Son,The name Hachirou means Eighth Son and is of Japanese origin. Hachirou is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/hachirou
Hada,Female,African,Salty Place,The name Hada means Salty Place and is of African origin. Hada is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/hada
Hadar,Unisex,Hebrew,Splendor Or Glory,The name Hadar means Splendor Or Glory and is of Hebrew origin. Hadar is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/hadar
Hadassah,Female,Hebrew,Myrtle Tree,The name Hadassah means Myrtle Tree and is of Hebrew origin. Hadassah is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/hadassah
Haddie,Female,American,Home Ruler,The name Haddie means Home Ruler and is of American origin. Haddie is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/haddie
Hades,Male,Greek,Sightless,The name Hades means Sightless and is of Greek origin. Hades is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/hades
Hadi,Male,Arabic,"Leader, Guide","The name Hadi means Leader, Guide and is of Arabic origin. Hadi is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/hadi
Hadia,Female,Arabic,"Leader, Guide","The name Hadia means Leader, Guide and is of Arabic origin. Hadia is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/hadia
Hadley,Unisex,English,From Hadda's Field,The name Hadley means From Hadda's Field and is of English origin. Hadley is name that's been used by parents who are considering unisex or non-gendered baby names--baby names that can be used for any gender.,https://www.babynames.com/name/hadley
Hadria,Female,Greek,Town In Northern Italy,The name Hadria means Town In Northern Italy and is of Greek origin. Hadria is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/hadria
Hadrian,Male,Latin,Person From Hadria,The name Hadrian means Person From Hadria and is of Latin origin. Hadrian is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/hadrian
Haf,Female,Welsh,Summer,The name Haf means Summer and is of Welsh origin. Haf is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/haf
Hafiz,Male,Arabic,Guardian,The name Hafiz means Guardian and is of Arabic origin. Hafiz is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/hafiz
Hafsa,Female,Arabic,Gathering,The name Hafsa means Gathering and is of Arabic origin. Hafsa is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/hafsa
Hafwen,Female,Welsh,Summer Blessed,The name Hafwen means Summer Blessed and is of Welsh origin. Hafwen is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/hafwen
Hagan,Male,English,Protector,The name Hagan means Protector and is of English origin. Hagan is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/hagan
Hagar,Male,Hebrew,Flight,The name Hagar means Flight and is of Hebrew origin. Hagar is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/hagar
